,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'New York Times'}",Zolan Kanno-Youngs and Mark Landler,U.S. to Lift Travel Ban on Vaccinated Visitors,Travelers who provide proof that they are fully vaccinated against the coronavirus before boarding a flight will be able to fly to the United States.,https://www.nytimes.com/2021/09/20/us/politics/us-travel-ban.html,https://static01.nyt.com/images/2021/09/20/world/20virus-briefing-europetravel3/20virus-briefing-europetravel3-facebookJumbo.jpg,2021-09-20T14:29:58Z,Unvaccinated Americans overseas aiming to travel home will have to clear stricter testing requirements. They will need to test negative for the coronavirus one day before traveling to the United Stat… [+1724 chars]
1,"{'id': None, 'name': 'New York Times'}",The New York Times,Most U.S. Health Workers Comply With Vaccine Mandates,"Although some have quit their jobs rather than get inoculated against the coronavirus, hospitals’ and nursing homes’ ability to hire healthy immunized employees may ease any shortages.",https://www.nytimes.com/live/2021/09/29/world/covid-delta-variant-vaccines,https://static01.nyt.com/images/2021/09/28/world/28virus-briefing-hospitals-vaccines-1/28virus-briefing-hospitals-vaccines-1-facebookJumbo.jpg,2021-09-29T09:24:17Z,"Hundreds of sought-after nurses are leaving some U.S. hospitals that have established vaccine requirements for all employees, involving some protests and legal opposition. But most workers, especiall… [+7747 chars]"
2,"{'id': None, 'name': 'New York Times'}",The New York Times,Experts Call for U.S. Vaccination Push as Colder Months Loom,Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restrictions for vaccinated people.,https://www.nytimes.com/live/2021/10/08/world/covid-delta-variant-vaccines,https://static01.nyt.com/images/2021/10/08/world/08virus-briefing-state-of-vaccinations/08virus-briefing-state-of-vaccinations-facebookJumbo.jpg,2021-10-08T10:02:38Z,"LiveUpdated Oct. 8, 2021, 5:56 a.m. ET
Oct. 8, 2021, 5:56 a.m. ET
Experts say that steady inoculation rates are crucial to avoid a winter coronavirus surge. San Francisco is easing some mask restri… [+9850 chars]"
3,"{'id': None, 'name': 'New York Times'}",Sharon Otterman,How a Vaccine Mandate Could Worsen a Shortage of Home Care Aides,"Some 250,000 home health care workers must get the coronavirus vaccine by Friday, but tens of thousands of them have yet to receive it.",https://www.nytimes.com/2021/10/07/nyregion/ny-vaccine-mandate-home-care-aides.html,https://static01.nyt.com/images/2021/10/06/nyregion/00nymandate-homehealthcare/00nymandate-homehealthcare-facebookJumbo.jpg,2021-10-07T07:00:07Z,"JASA, an organization serving older adults in New York City, said that its staff members had rushed to be vaccinated this week after an all-out push by the agency. Among its 660 home health aides, so… [+4283 chars]"
4,"{'id': None, 'name': 'New York Times'}",Sharon Otterman and Joseph Goldstein,New York Hospitals Face Possible Mass Firings as Workers Spurn Vaccines,"With a Monday deadline looming, thousands of health care workers in the state are risking their jobs by not getting a coronavirus vaccine.",https://www.nytimes.com/2021/09/24/nyregion/coronavirus-hospitals-vaccines.html,https://static01.nyt.com/images/2021/09/24/nyregion/00nyvaxx-mandate/merlin_195200199_c42d3879-54cc-462c-9bda-e7681f5a03e4-facebookJumbo.jpg,2021-09-24T21:01:26Z,"New York States vaccination requirement for health care workers is among the largest mandates of its kind that is set to take effect in the United States, with weekly virus testing not permitted as a… [+2279 chars]"
5,"{'id': None, 'name': 'New York Times'}","Astead W. Herndon, Jessica Cheung, Rachelle Bonja, Eric Krupke, M.J. Davis Lin, Lisa Chow, Dan Powell, Marion Lozano and Chris Wood",The State of the Pandemic,What can the U.S. expect from the coronavirus this fall? And what do we know about booster shots and a possible new treatment?,https://www.nytimes.com/2021/10/07/podcasts/the-daily/coronavirus-booster-shots-vaccinations.html,https://static01.nyt.com/images/2021/10/07/world/07daily/07daily-facebookJumbo.jpg,2021-10-07T10:00:07Z,"Apoorva Mandavilli contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Lariss… [+737 chars]"
6,"{'id': None, 'name': 'New York Times'}",The New York Times,"After F.D.A. Approval, C.D.C. Is Set to Decide Who Qualifies for Booster Shots",A decision is expected on Thursday on that thorny question. And Alaska’s hospitals are struggling in latest coronavirus surge.,https://www.nytimes.com/live/2021/09/23/world/covid-delta-variant-vaccine,https://static01.nyt.com/images/2021/09/23/lens/23virus-briefing-cdc-meeting1/23virus-briefing-cdc-meeting1-facebookJumbo.jpg,2021-09-23T09:22:30Z,"Scientific advisers to the Centers for Disease Control and Prevention will take up a thorny challenge on Thursday: Who qualifies for the new Pfizer-BioNTech coronavirus booster and why?
On Wednesday… [+9714 chars]"
7,"{'id': None, 'name': 'New York Times'}",,"The Music Lost to Coronavirus, Part 3","Remembering Jacob Desvarieux, John Davis and Chucky Thompson.",https://www.nytimes.com/2021/10/12/arts/music/popcast-covid-deaths.html,https://static01.nyt.com/images/2021/10/12/arts/12popcast/12popcast-facebookJumbo.jpg,2021-10-12T15:50:24Z,"This past summer, it briefly seemed as if the worst of the coronavirus might be behind us. But despite some encouraging signs like the concert business amping up again the pandemics landscape continu… [+1147 chars]"
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Dubai opens coronavirus-delayed Expo 2020,Organisers say the world fair will be the largest global gathering since the start of the pandemic.,https://www.bbc.co.uk/news/world-middle-east-58745890,https://ichef.bbci.co.uk/news/1024/branded_news/143B3/production/_120776828_mediaitem120776827.jpg,2021-09-30T23:08:51Z,"Image caption, The Expo 2020 opened with a colourful ceremony on Thursday evening
The coronavirus-delayed Expo 2020 has opened in Dubai, with organisers aiming to stage the largest global gathering … [+3043 chars]"
9,"{'id': None, 'name': 'New York Times'}",Jan Ransom,Rikers Death Pushes Toll in N.Y.C. Jails to 13 This Year,"The man who died contracted the coronavirus while awaiting trial on weapons charges after being unable to post $100,000 bail, his lawyer said.",https://www.nytimes.com/2021/10/15/nyregion/rikers-death-toll.html,https://static01.nyt.com/images/2021/10/15/nyregion/15rikers/15rikers-facebookJumbo.jpg,2021-10-15T23:38:51Z,"Mr. Mercados brother, Ray Rivera, 65, said that his family could not raise enough money for his bail and was reeling from their loss. 
We didnt want him to die in there, Mr. Rivera said. Im crushed.… [+1828 chars]"
10,"{'id': None, 'name': 'New York Times'}",Tracey Tully,New Jersey Election Seen as Test of Coronavirus Mandates,The New Jersey’s governor contest is one of the first statewide elections to measure how voters now feel about strict coronavirus mandates.,https://www.nytimes.com/2021/10/12/nyregion/nj-governor-murphy-ciattarelli.html,https://static01.nyt.com/images/2021/10/11/nyregion/00njgov/00njgov-facebookJumbo.jpg,2021-10-12T09:00:23Z,"Still, along the Jersey Shore in Ocean County, where Mr. Trump won by nearly 30 points, it remains easy to find anti-mask yard signs that read Free the Smiles. And across the state some local board o… [+1472 chars]"
11,"{'id': None, 'name': 'New York Times'}",Andy Newman,"Turn Empty N.Y.C. Hotels Into Permanent Housing for Homeless, Adams Says",Thousands of rooms in hotels shuttered by the coronavirus pandemic would become “supportive housing” under a plan announced by New York’s likely next mayor.,https://www.nytimes.com/2021/09/21/nyregion/homeless-shelters-eric-adams.html,https://static01.nyt.com/images/2021/09/20/lens/20virus-briefing-adams-homeless2/merlin_195038688_88035be9-3450-4720-b5a7-0bccfe2b1af2-facebookJumbo.jpg,2021-10-03T12:08:22Z,"He was not clear about whether there was any overlap between his plan and those that the current mayor, Bill de Blasio, and the former governor of New York, Andrew M. Cuomo, have already begun to bui… [+1359 chars]"
12,"{'id': None, 'name': 'New York Times'}",Liam Stack,How Black Churches Are Encouraging Vaccines in New York,"More than 80 percent of adults in New York City have received at least one dose of the coronavirus vaccine, but there are significant racial disparities in the vaccination rate.",https://www.nytimes.com/2021/10/09/nyregion/covid-vaccinations-black-churches.html,https://static01.nyt.com/images/2021/10/06/nyregion/00nyvirus-blackchurches/00nyvirus-blackchurches-facebookJumbo.jpg,2021-10-09T09:00:14Z,"Among Black New Yorkers, only 48 percent of those between 18 and 44 have gotten at least one dose of the vaccine, compared with roughly 60 percent of those 45 and older, according to city data.
 Gen… [+3935 chars]"
13,"{'id': None, 'name': 'New York Times'}",Christopher Clarey,"U.S. Open Stars Fall at Indian Wells, Which Struggles to Draw a Crowd","The tournament, the first major sporting event canceled because of the coronavirus pandemic in March 2020, was moved to October for its return, but attendance is down by half and atmosphere is lacking.",https://www.nytimes.com/2021/10/13/sports/tennis/indian-wells-medvedev.html,https://static01.nyt.com/images/2021/10/14/sports/14tennis-medvedev1/merlin_196238199_c1caaebe-aa82-4eaf-b6db-7c734c8a4658-facebookJumbo.jpg,2021-10-14T03:14:18Z,"The decision to require vaccination of all spectators may have limited the overall numbers while reassuring some fans. When we saw everybody was going to be vaccinated, we definitely felt better abou… [+1456 chars]"
14,"{'id': 'bbc-news', 'name': 'BBC News'}",,LeBron James gets vaccine after initial scepticism,"Basketball great LeBron James says he decided to get the coronavirus vaccine as it ""best suited"" him, his family and his friends.",https://www.bbc.co.uk/sport/basketball/58728806,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/14930/production/_120727248_lebron_getty.jpg,2021-09-28T22:17:28Z,"LeBron James' LA Lakers won the NBA title in 2020
Basketball great LeBron James says he decided to get the coronavirus vaccine because it ""best suited"" him, his family and his friends.
The 36-year-… [+1899 chars]"
15,"{'id': None, 'name': 'New York Times'}",Lananh Nguyen,How The Coronavirus Pandemic Made The CFA Test Tougher,"This summer, a record low number of C.F.A. test takers passed the first level of the notoriously difficult exams, reviving an old debate about the merits of the qualification.",https://www.nytimes.com/2021/09/30/business/cfa-test-fail-pass.html,https://static01.nyt.com/images/2021/09/24/business/00cfa-fail-2/00cfa-fail-2-facebookJumbo.jpg,2021-09-30T09:00:12Z,"Florian Campuzan, an independent stock trader in Versailles, France, was not as lucky. Mr. Campuzan is pursuing a C.F.A. in hopes that the knowledge and prestige gained from the credential will bolst… [+1418 chars]"
16,"{'id': None, 'name': 'New York Times'}",Maria Cramer,Texas Man Is Sentenced to 15 Months for Online Covid-19 Hoax,"Christopher Charles Perez, 40, wrote on Facebook last year that he had paid someone who was infected with the coronavirus to lick groceries at a San Antonio supermarket, federal prosecutors said.",https://www.nytimes.com/2021/10/06/us/christopher-charles-perez-covid-licking.html,https://static01.nyt.com/images/2021/10/06/lens/06xp-covidhoax1/06xp-covidhoax1-facebookJumbo.jpg,2021-10-06T21:24:50Z,"Im sure the judge was intending to send a message to people who would be involved in like hoaxes, which is important, said Ms. Gertner, now a lecturer at Harvard Law School. The question is whether h… [+1544 chars]"
17,"{'id': None, 'name': 'New York Times'}",Luis Ferré-Sadurní,"Howard Zucker, Who Led Cuomo’s Pandemic Response, Resigns","Dr. Zucker, the New York State health commissioner, came under fire for potentially helping obscure the coronavirus death toll in nursing homes and keeping health data from the Legislature.",https://www.nytimes.com/2021/09/23/nyregion/howard-zucker-resign-cuomo.html,https://static01.nyt.com/images/2021/09/23/nyregion/23nyzucker/merlin_186307431_2eaf9890-9071-4824-8d6b-17286888bc60-facebookJumbo.jpg,2021-09-23T15:22:15Z,"I thank Dr. Zucker for his willingness to stay on board so we dont have a gap in leadership until a person is identified, she said. I think I made it very clear on my first day in office that Id be l… [+1054 chars]"
18,"{'id': None, 'name': 'New York Times'}",The New York Times,Italy Imposes Mandate for Workers to Boost Covid Vaccination,"In the most sweeping mandate put in place by a Western democracy, Italy on Friday began requiring all workers to either be vaccinated or take a coronavirus test every two days.",https://www.nytimes.com/live/2021/10/15/world/italy-covid-green-pass,https://static01.nyt.com/images/2021/10/15/world/15italy-briefing-top/15italy-briefing-top-facebookJumbo.jpg,2021-10-15T07:28:31Z,Italy set a new bar on Friday for major Western democracies seeking to move beyond the pandemic by putting in place a sweeping law that requires the nations entire work force public and private to ha… [+7844 chars]
19,"{'id': 'cnn', 'name': 'CNN'}","Aya Elamroussi, CNN","Funeral homes in Idaho are running out of room due to the Covid-19 surge, coroner says",Covid-19 is killing so many people in Idaho that some funeral homes are running out of space to store the bodies as coronavirus deaths continue climbing in the US.,https://www.cnn.com/2021/09/26/health/us-coronavirus-sunday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210917115638-idaho-hospital-0831-super-tease.jpg,2021-09-26T08:46:06Z,"(CNN)Covid-19 is killing so many people in Idaho that some funeral homes are running out of space to store the bodies as coronavirus deaths continue climbing in the US. 
""We are working nonstop. We'… [+5783 chars]"
